v0, k0, x, y, yaw, km, kf, sf
0.6,-0.4,-0.4077,-3.4506,-1.6051,-0.49,-2.4502,20.7136
0.6,-0.4,-0.2773,-3.4601,-1.5679,-0.5117,-2.5816,20.5289
0.6,-0.4,0.2199,-3.3681,-1.4881,-0.6408,1.083,4.5781
0.6,-0.4,0.336,-3.3857,-1.6092,-0.6099,0.9419,4.5577
0.6,-0.4,0.5499,-3.3796,-1.5795,-0.5847,0.8656,4.4927
0.6,-0.4,0.8228,-3.368,-1.5198,-0.559,0.7211,4.4441
0.6,-0.4,0.9208,-3.3699,-1.5799,-0.5399,0.5595,4.4265
0.6,-0.4,1.1253,-3.3786,-1.5881,-0.504,0.5771,4.4418
0.6,-0.4,1.3996,-3.3768,-1.5449,-0.4675,0.3532,4.4056
0.6,-0.4,1.5451,-3.3547,-1.5752,-0.4364,0.2264,4.4257
0.6,-0.4,1.7675,-3.3756,-1.636,-0.3994,0.1852,4.4894
0.6,-0.4,1.9964,-3.421,-1.5179,-0.3644,0.1719,4.5528
0.6,-0.4,2.1793,-3.3595,-1.5361,-0.3315,0.0815,4.6304
0.6,-0.4,2.4025,-3.4376,-1.5262,-0.2971,-0.0089,4.7033
0.6,-0.4,2.5794,-3.4403,-1.5369,-0.2655,-0.1137,4.7626
0.6,-0.4,2.8106,-3.4126,-1.5265,-0.2342,-0.165,4.8993
0.6,-0.4,2.9885,-3.396,-1.5372,-0.2073,-0.238,4.9916
0.6,-0.4,3.2176,-3.4322,-1.5399,-0.1781,-0.2987,5.1001
0.6,-0.4,3.3929,-3.4033,-1.5435,-0.154,-0.3595,5.2156
0.6,-0.4,3.573,-3.3637,-1.5432,-0.1307,-0.4186,5.335
0.6,-0.4,3.7899,-3.3856,-1.5436,-0.1061,-0.4755,5.51
0.6,-0.4,3.9664,-3.3449,-1.5137,-0.085,-0.5138,5.6341
0.6,-0.4,4.1668,-3.3607,-1.5325,-0.0653,-0.5473,5.7642
0.6,-0.4,4.3887,-3.3633,-1.5198,-0.0476,-0.5561,5.8527
0.6,-0.4,4.5687,-3.3818,-1.5512,-0.0313,-0.5989,6.0171
0.6,-0.4,4.801,-3.3717,-1.5177,-0.014,-0.6153,6.1836
0.6,-0.4,4.9783,-3.3859,-1.5434,0.0001,-0.6418,6.328
0.6,-0.4,5.1718,-3.3825,-1.5568,0.0146,-0.6799,6.542
0.6,-0.4,5.3723,-3.3829,-1.5444,0.0273,-0.7038,6.7249
0.6,-0.4,5.5449,-3.4463,-1.4937,0.0375,-0.7107,6.8022
0.6,-0.4,5.7921,-3.3473,-1.5023,0.0506,-0.7132,7.0208
0.6,-0.4,5.9613,-3.3529,-1.521,0.0615,-0.7213,7.1778
0.6,-0.4,-1.9463,-3.178,-1.5243,-0.6025,2.0382,6.5278
0.6,-0.4,-1.7098,-3.2153,-1.532,-0.6243,2.1355,6.2341
0.6,-0.4,-1.6044,-3.2103,-1.51,-0.6642,1.8538,5.9585
0.6,-0.4,-1.3639,-3.2268,-1.4819,-0.7163,2.3381,5.676
0.6,-0.4,-1.2472,-3.1748,-1.5101,-0.3649,-1.9087,22.7173
0.6,-0.4,-1.0551,-3.215,-1.5381,-0.3913,-1.9971,22.2314
0.6,-0.4,-0.7763,-3.2807,-1.6058,-0.422,-2.125,21.8166
0.6,-0.4,-0.6034,-3.2771,-1.6016,-0.4458,-2.2052,21.3612
0.6,-0.4,-0.4378,-3.232,-1.522,-0.4746,-2.3236,20.9078
0.6,-0.4,-0.2579,-3.2176,-1.5279,-0.5055,-2.4369,20.4594
0.6,-0.4,0.1958,-3.2207,-1.5704,-0.6615,1.1895,4.4091
0.6,-0.4,0.3091,-3.193,-1.558,-0.6726,0.9713,4.292
0.6,-0.4,0.5124,-3.1729,-1.5995,-0.6332,0.9371,4.2582
0.6,-0.4,0.8299,-3.2389,-1.5051,-0.5899,0.7481,4.2287
0.6,-0.4,0.9535,-3.1644,-1.6341,-0.5671,0.6459,4.1794
0.6,-0.4,1.1783,-3.1656,-1.6367,-0.5283,0.5097,4.1844
0.6,-0.4,1.3871,-3.166,-1.5603,-0.4928,0.455,4.1918
0.6,-0.4,1.5565,-3.1318,-1.611,-0.4597,0.3078,4.1993
0.6,-0.4,1.8029,-3.1681,-1.5319,-0.4132,0.2517,4.2954
0.6,-0.4,2.0123,-3.1857,-1.5227,-0.3742,0.1451,4.3611
0.6,-0.4,2.2313,-3.1874,-1.5143,-0.3355,0.0428,4.4343
0.6,-0.4,2.376,-3.1177,-1.5453,-0.3036,-0.0773,4.4753
0.6,-0.4,2.6077,-3.1699,-1.5481,-0.2588,-0.1447,4.6932
0.6,-0.4,2.7963,-3.1548,-1.5338,-0.2365,-0.2255,4.6889
0.6,-0.4,3.0012,-3.2026,-1.5475,-0.2055,-0.2951,4.7929
0.6,-0.4,3.2137,-3.155,-1.5286,-0.1749,-0.3656,4.9434
0.6,-0.4,3.3722,-3.1286,-1.5309,-0.1495,-0.4176,5.0203
